Symbol NQ #F Data

StartDate	StartTime	        Open	        High	         Low	       Close	Volume	Bid	Ask
20191219	101000	 8628.750000	 8629.750000	 8626.000000	 8627.500000	755		
20191219	101100	 8627.500000	 8628.000000	 8626.250000	 8627.750000	388		
20191219	101200	 8627.750000	 8629.250000	 8627.500000	 8628.250000	418		
20191219	101300	 8628.250000	 8629.250000	 8627.000000	 8628.000000	602		
20191219	101400	 8628.250000	 8629.250000	 8628.000000	 8628.250000	414		
20191219	101500	 8628.500000	 8630.000000	 8628.000000	 8628.000000	382		
20191219	101600	 8628.000000	 8629.250000	 8627.500000	 8628.000000	286		
20191219	101700	 8627.750000	 8629.500000	 8627.500000	 8628.250000	459		
20191219	101800	 8628.500000	 8629.000000	 8625.250000	 8625.250000	932		
20191219	101900	 8625.250000	 8627.250000	 8624.500000	 8625.500000	792		
20191219	102000	 8625.500000	 8629.250000	 8625.000000	 8628.500000	752		
20191219	102100	 8628.750000	 8629.250000	 8626.750000	 8627.500000	578		
20191219	102200	 8627.500000	 8628.750000	 8626.500000	 8627.500000	393		
20191219	102300	 8627.250000	 8629.000000	 8627.250000	 8628.250000	321		
20191219	102400	 8628.000000	 8629.750000	 8628.000000	 8628.750000	310		
20191219	102500	 8629.000000	 8634.000000	 8628.750000	 8632.000000	1252		
20191219	102600	 8631.750000	 8632.750000	 8630.500000	 8632.250000	505		
20191219	102700	 8632.250000	 8634.250000	 8632.000000	 8633.500000	577		
20191219	102800	 8633.750000	 8634.750000	 8632.500000	 8634.250000	759		
20191219	102900	 8634.500000	 8639.000000	 8634.250000	 8638.250000	2012		
20191219	103000	 8638.500000	 8639.500000	 8636.750000	 8637.250000	1108		
20191219	103100	 8637.000000	 8638.250000	 8637.000000	 8637.250000	600		
20191219	103200	 8637.250000	 8637.500000	 8635.750000	 8636.000000	468		
20191219	103300	 8636.000000	 8636.500000	 8633.500000	 8635.000000	597		
20191219	103400	 8635.000000	 8635.000000	 8632.750000	 8633.750000	455		
20191219	103500	 8633.750000	 8634.250000	 8633.000000	 8633.750000	439		
20191219	103600	 8634.000000	 8638.750000	 8633.500000	 8637.000000	1406		
20191219	103700	 8637.000000	 8637.250000	 8633.750000	 8633.750000	750		
20191219	103800	 8634.000000	 8634.750000	 8633.250000	 8634.500000	298		
20191219	103900	 8634.750000	 8635.000000	 8634.000000	 8634.500000	330		
20191219	104000	 8634.250000	 8635.000000	 8634.000000	 8634.250000	324		
20191219	104100	 8634.000000	 8636.000000	 8634.000000	 8635.750000	325		
20191219	104200	 8635.750000	 8637.500000	 8635.750000	 8636.500000	454		
20191219	104300	 8636.500000	 8638.500000	 8636.000000	 8638.000000	654		
20191219	104400	 8637.750000	 8638.000000	 8637.000000	 8637.500000	298		
20191219	104500	 8637.500000	 8640.000000	 8637.500000	 8639.000000	905		
20191219	104600	 8639.000000	 8640.000000	 8638.500000	 8639.000000	825		
20191219	104700	 8638.750000	 8639.250000	 8637.500000	 8637.750000	795		
20191219	104800	 8637.750000	 8638.750000	 8637.250000	 8638.500000	320		
20191219	104900	 8638.750000	 8638.750000	 8637.000000	 8637.000000	317		
20191219	105000	 8637.000000	 8637.500000	 8636.500000	 8637.000000	395		
20191219	105100	 8637.000000	 8638.500000	 8637.000000	 8638.250000	477		
20191219	105200	 8638.250000	 8638.750000	 8636.750000	 8637.250000	348		
20191219	105300	 8637.250000	 8637.500000	 8636.500000	 8637.000000	202		
20191219	105400	 8637.000000	 8637.250000	 8636.500000	 8637.000000	180		
20191219	105500	 8636.750000	 8638.250000	 8636.500000	 8637.750000	235		
20191219	105600	 8637.750000	 8638.000000	 8637.000000	 8637.000000	190		
20191219	105700	 8637.250000	 8638.000000	 8636.750000	 8637.000000	233		
20191219	105800	 8637.000000	 8637.000000	 8635.250000	 8636.000000	376		
20191219	105900	 8636.000000	 8636.250000	 8634.750000	 8635.000000	395		
20191219	110000	 8634.750000	 8636.500000	 8634.500000	 8636.250000	401		
20191219	110100	 8636.000000	 8637.000000	 8636.000000	 8636.500000	197		
20191219	110200	 8636.500000	 8638.500000	 8636.250000	 8637.500000	372		
20191219	110300	 8637.500000	 8637.500000	 8636.750000	 8637.000000	180		
20191219	110400	 8637.000000	 8639.750000	 8636.500000	 8638.750000	861		
20191219	110500	 8638.500000	 8639.500000	 8638.500000	 8639.250000	325		
20191219	110600	 8639.000000	 8639.250000	 8637.750000	 8638.750000	270		
20191219	110700	 8638.750000	 8641.750000	 8638.750000	 8641.250000	822		
20191219	110800	 8641.500000	 8642.250000	 8641.000000	 8641.750000	1281		
20191219	110900	 8642.000000	 8642.250000	 8640.500000	 8641.750000	604		
20191219	111000	 8642.000000	 8643.750000	 8640.500000	 8640.500000	821		
20191219	111100	 8640.750000	 8640.750000	 8639.250000	 8639.750000	464		
20191219	111200	 8639.500000	 8639.750000	 8638.250000	 8639.000000	326		
20191219	111300	 8639.000000	 8639.500000	 8638.250000	 8639.250000	297		
20191219	111400	 8639.250000	 8639.750000	 8638.500000	 8639.000000	209		
20191219	111500	 8638.750000	 8639.500000	 8638.750000	 8639.250000	166		
20191219	111600	 8639.500000	 8641.000000	 8638.250000	 8640.750000	364		
20191219	111700	 8640.750000	 8641.250000	 8639.750000	 8640.000000	205		
20191219	111800	 8640.250000	 8641.000000	 8639.750000	 8640.250000	167		
20191219	111900	 8640.500000	 8641.250000	 8640.250000	 8641.250000	179		
